attempt,components,support_half_width,amplitude,tv,hellinger
331,15,3.5522675672201163,0.0006204445667475984,0.00012497218308507018,9.302421678336278e-05
332,15,2.090978705680912,0.17392065727395656,0.010422657003536524,0.01090167488989667
333,8,2.1436331943836637,0.03114015852911655,0.001967976399497035,0.0023338213477538915
334,15,2.9030436122302556,0.015799204006108045,0.0017902850604625204,0.0014037617718888093
335,5,3.625290508018748,0.000503943124825327,0.00014072733938038786,0.00010661719491320409
336,8,1.81603762703854,0.012737708312079673,0.0010755518863536282,0.0008710147264905297
337,5,3.930555530555062,0.04956370466750193,0.018118878578980657,0.039497052111173964
338,5,2.0467979629642503,0.00015038159997191243,2.19218398412513e-05,1.839453460937335e-05
339,5,3.9315226208212866,0.0014380245253735684,0.0003467152708533196,0.00027462431879635277
340,8,2.854738808139779,0.003091374655013317,0.00039933885468075163,0.00039172027004539216
341,11,3.29866794993976,0.0014532487107744491,0.00034506443702969527,0.000333124197491434
342,11,2.1284586211144774,0.09442878111600606,0.02226260000879284,0.019760094805530627
343,11,2.8771548279476793,0.007542270337349045,0.0014672139407878363,0.0012562172396094109
344,15,3.9186295964228868,0.004653599210007987,0.0008933422061480577,0.0008701976726913003
345,11,2.57019177623702,0.035555524293867685,0.006761505324870885,0.00557400852157729
346,5,2.94610068430966,0.0004949677222136007,0.00020558006619740023,0.00016971337380616933
347,11,2.657367939676934,0.00041346112133888,5.203918253998975e-05,4.327672861405476e-05
348,11,1.7941841471118876,0.0008358994900734159,0.00013935465794969918,0.00012330752531930953
349,15,2.088876417300131,0.017911822319802526,0.0014751961317755638,0.0012406557345657626
350,5,3.015368325188488,0.003276905012134366,0.0008556412740597093,0.0007635819772048932
353,5,2.977781686086736,0.009400432399324952,0.0014141715431141694,0.0012658074867762542
354,15,3.949442603965157,0.0988934097562795,0.013756518538332043,0.011956190552459094
356,8,3.0667852810335288,0.0014944680195390996,0.0001620222743463457,0.00016219050683413474
357,11,2.0395896526072796,0.00015077764301501756,2.340156504924333e-05,2.135954479760839e-05
358,5,1.6883101797035625,0.0072686571325029274,0.0005225991253762624,0.00045760350914056164
359,5,2.596798681210718,0.002446533513552415,0.0004043459990627262,0.0003297059466859488
360,8,3.954980877401673,0.00044609474732148623,8.563016992481164e-05,0.00010259874888525255
361,11,3.534237960983956,0.033681038120637774,0.0017036957126600094,0.0016881384602627477
362,5,1.7972342222598499,0.0010786530515885342,0.00013813132377702933,0.0001529460504555698
363,5,2.9272739710782907,0.00012654589954566798,3.283029706474084e-05,3.7680297349906184e-05
364,11,2.932939790891299,0.004872636724955804,0.0006020362872655844,0.0005694059697992997
365,15,2.901447905918006,0.00243063441604423,0.00033638636344969486,0.0002680360461762476
367,5,2.0133768057575665,0.000131602532167799,5.164309210089346e-05,4.029487351928562e-05
