family,components,support_half_width,relative_amplitude,amplitude,tv,hellinger,hellinger_squared,chi_squared,sqrt_chi_squared,alpha,theorem_2_1_rhs_C0_1,corollary_2_4_rhs_C0_1,theorem_2_1_ratio,corollary_2_4_ratio,hellinger_over_tv,sqrt_chi_over_tv
10,21,3.0562389542408495,0.01,0.0004641793759031009,4.9023830186569746e-05,3.8965970911885704e-05,1.5183468891059228e-09,1.2146872099626126e-08,0.00011021284906772952,0.9586575206207841,0.6634844520486904,0.6634844520486904,0.00016611218051518326,5.8729290176382536e-05,0.7948373426473024,2.2481484749007374
10,21,3.0562389542408495,0.003,0.00013925381277093027,1.4707149055970357e-05,1.168982393446782e-05,1.3665198361885673e-10,1.0932184889662916e-09,3.306385472031795e-05,0.9130940033767436,0.38021500108546996,0.38021500108546996,8.696094216673319e-05,3.0745299109963365e-05,0.7948395633973904,2.2481484749007627
10,21,3.0562389542408495,0.001,4.641793759031009e-05,4.90238301865638e-06,3.896611090808851e-06,1.518357799301454e-11,1.2146872099625559e-10,1.1021284906772694e-05,0.8787530197046496,0.2271056355176863,0.2271056355176863,4.852933253571503e-05,1.715770320682066e-05,0.79484019832396,2.2481484749009577
11,11,2.386484681077931,1.0,0.0024061041357146206,0.00016804152254828048,0.00017304170239584323,2.9943430768051575e-08,2.3959273405361073e-07,0.000489482108001519,1.0174245694110542,1.1635109914005608,1.1635109914005608,0.00042069401287933816,0.00014872373675434435,1.0297556209425924,2.9128640384752797
11,11,2.386484681077931,0.3,0.0007218312407143862,5.0412456764483615e-05,5.1915937252640726e-05,2.6952645408201293e-09,2.1563346064824726e-08,0.0001468446324004549,0.9598364746698196,0.6720456441799653,0.6720456441799653,0.00021850395679542828,7.725061192233291e-05,1.0298235909267635,2.912864038475294
11,11,2.386484681077931,0.1,0.00024061041357146206,1.680415225482763e-05,1.7305641134989335e-05,2.994852150930349e-10,2.3959273405360475e-09,4.8948210800151294e-05,0.9176840847872947,0.40455334675101495,0.40455334675101495,0.00012099321682358197,4.277715479051569e-05,1.0298431526063825,2.912864038475316
11,11,2.386484681077931,0.03,7.218312407143861e-05,5.041245676448737e-06,5.191726931071459e-06,2.6954028526812675e-11,2.1563346064827268e-10,1.4684463240046354e-05,0.8795565947158784,0.23012066522645644,0.23012066522645644,6.381201456025565e-05,2.2560889635715248e-05,1.0298500141196705,2.9128640384752487
11,11,2.386484681077931,0.01,2.4061041357146205e-05,1.680415225483882e-06,1.7305789404225151e-06,2.9949034690339155e-12,2.3959273405377444e-11,4.894821080016862e-06,0.8502420193447487,0.13652432942548706,0.13652432942548706,3.5853104722176145e-05,1.267597466111005e-05,1.029851975974681,2.912864038474407
11,11,2.386484681077931,0.003,7.2183124071438616e-06,5.041245676447083e-07,5.191740283574581e-07,2.6954167172091074e-13,2.156334606480949e-12,1.46844632400403e-06,0.8226823509546894,0.07644495315037016,0.07644495315037016,1.9209199083627403e-05,6.791475525352509e-06,1.0298526627715479,2.9128640384750035
11,11,2.386484681077931,0.001,2.4061041357146205e-06,1.6804152254829256e-07,1.7305804242822246e-07,2.994908604908844e-14,2.3959273405426895e-13,4.894821080021914e-07,0.800812367888723,0.04472875145476906,0.04472875145476906,1.0943343869036209e-05,3.869055960643648e-06,1.029852859006846,2.9128640384790714
12,11,3.3860106863316513,1.0,0.1,0.008049923660783467,0.00738366370498607,5.451848970832861e-05,0.00044670233464809265,0.021135333795521013,1.3984164858985646,6.829156840508712,6.829156840508712,0.0030948672419048757,0.0010811969731297096,0.9172340032187892,2.6255322020611556
12,11,3.3860106863316513,0.3,0.03,0.0024149770982350395,0.0022332467841378162,4.987391198861897e-06,4.020321011832832e-05,0.006340600138656303,1.2248800035494603,3.8773100434119914,3.8773100434119914,0.0016353090332380648,0.0005759783868541456,0.9247486387220654,2.6255322020611556
12,11,3.3860106863316513,0.1,0.010000000000000002,0.0008049923660783481,0.0007462854983660931,5.569420450715281e-07,4.4670233464809355e-06,0.002113533379552103,1.1204113748919422,2.358184976029985,2.358184976029985,0.0008962542807435938,0.00031646605586575663,0.9270715224316287,2.625532202061153
