truth,epsilon,n,replicate,q,selected,h2_loss,tv_loss
point_+0.0,0.02,100,4,-6.0,mix_-1.0_+0.5_w0.25,0.010624828263526075,0.11221544160342153
point_+0.0,0.02,200,4,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,400,4,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,4,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,4,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,5,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,200,5,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,400,5,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,800,5,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,5,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,6,-6.0,mix_-0.5_+0.5_w0.75,0.009232113867112179,0.10690992617970946
point_+0.0,0.02,200,6,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,400,6,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,6,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,6,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,7,-6.0,mix_-0.5_+0.5_w0.75,0.009232113867112179,0.10690992617970946
point_+0.0,0.02,200,7,-6.0,mix_-0.5_+0.5_w0.50,0.0031927021410996796,0.058058797347417035
point_+0.0,0.02,400,7,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,800,7,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,1600,7,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,100,8,-6.0,mix_-0.5_+0.5_w0.75,0.009232113867112179,0.10690992617970946
point_+0.0,0.02,200,8,-6.0,point_+0.0,0.0,0.0
point_+0.0,0.02,400,8,-6.0,point_+0.0,0.0,0.0
